,title,year,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length,infobox
1476,To All the Boys: P.S. I Still Love You,2020,72 Reviews,76,500+ Ratings,40,"[('netflix', 'Subscription')]",2020, Romance/Comedy, 1h 41m,"{'Directed by': ['Michael Fimognari', '', ''], 'Screenplay by': ['Sofia Alvarez', 'J. Mills Goodloe', '\n \n', ''], 'Based on': ['by ', 'Jenny Han', '', ''], 'Produced by': ['Matt Kaplan', '', ''], 'Starring': ['Trezzo Mahoro', 'Lana Condor', 'Noah Centineo', 'Jordan Fisher', 'Anna Cathcart', 'Janel Parrish', 'Ross Butler', 'Madeleine Arthur', 'Emilija Baranac', 'Holland Taylor', 'Sarayu Blue', 'John Corbett', '\n \n', ''], 'Cinematography': ['Michael Fimognari', '', ''], 'Edited by': ['Joe Klotz', '', ''], 'Music by': ['Joe Wong', '', ''], 'Production companies': ['', '', 'Ace Entertainment', 'Overbrook Entertainment', 'Awesomeness Films'], 'Distributed by': ['Netflix', '', ''], 'Release date': ['February\xa012,\xa02020', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$18 million', '', '']}"
1477,The Way Back,2020,218 Reviews,84,"2,500+ Verified Ratings",84,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('hbo-max', 'Subscription'), ('itunes', 'Rent/buy')]",2020, Drama, 1h 48m,"{'Directed by': [""Gavin O'Connor"", '', ''], 'Written by': ['Brad Ingelsby', '', ''], 'Produced by': ['Gordon Gray', ""Gavin O'Connor"", 'Ravi Mehta', 'Jennifer Todd', '\n \n', ''], 'Starring': ['Ben Affleck', 'Al Madrigal', 'Michaela Watkins', 'Janina Gavankar', '\n \n', ''], 'Cinematography': ['Eduard Grau', '', ''], 'Edited by': ['David Rosenbloom', '', ''], 'Music by': ['Rob Simonsen', '', ''], 'Production companies': ['', '', 'Mayhem Pictures', 'Film Tribe', 'Warner Bros. Pictures', 'Bron Creative'], 'Distributed by': ['Warner Bros. Pictures', '', ''], 'Release date': ['March\xa06,\xa02020', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$21–25 million', '', ''], 'Box office': ['$15.5 million', '', '']}"
1478,Spy Intervention,2020,6 Reviews,33,Fewer than 50 Ratings,46,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2020, Comedy/Adventure, 1h 33m,"{'Directed by': ['Drew Mylrea', '', ''], 'Written by': ['Mark Famiglietti', 'Lane Garrison', '', ''], 'Produced by': ['Sunil Perkash', 'Martin Sprock', 'Anil Yadav', 'Akaash Yadav', 'Ryan R. Johnson', '', ''], 'Starring': ['Drew Van Acker', 'Poppy Delevingne', 'Natasha Bassett', 'Max Silvestri', 'Brittany Furlan', 'Blake Anderson', '', ''], 'Cinematography': ['Danny Grunes', '', ''], 'Edited by': ['Drew Mylrea', '', ''], 'Music by': ['Roger Suen', '', ''], 'Production companies': ['', '', 'Fry Cook Productions', 'El Ride Productions', 'Wildfire Productions'], 'Distributed by': ['Sprockefeller Pictures', 'Cinedigm', '', ''], 'Release date': ['February\xa014,\xa02020', '\n \n', ''], 'Running time': ['93 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1479,Impractical Jokers: The Movie,2020,26 Reviews,35,"1,000+ Verified Ratings",76,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('hbo-max', 'Subscription'), ('itunes', 'Rent/buy')]",2020, Comedy, 1h 33m,"{'Directed by': ['Chris Henchy', '', ''], 'Written by': ['Chris Henchy', 'Joe Gatto', 'James Murray', 'Brian Quinn', 'Sal Vulcano', '\n \n', ''], 'Based on': ['by ', 'The Tenderloins', '', ''], 'Produced by': ['Jim Ziegler', 'Buddy Enright', 'Chris Henchy', '\n \n', ''], 'Starring': ['Joe Gatto', 'James Murray', 'Brian Quinn', 'Sal Vulcano', '\n \n', ''], 'Edited by': ['Thomas M. Vogt', '', ''], 'Music by': ['Paul Jones', 'Zach Robinson', 'Leo Birenberg', '\n \n', ''], 'Production companies': ['', '', 'Funny or Die', 'truTV'], 'Distributed by': ['WarnerMedia', '', ''], 'Release date': ['February\xa021,\xa02020', '\n \n', ''], 'Running time': ['93 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$3 million', '', ''], 'Box office': ['$10.7 million', '', '']}"
1480,All the Bright Places,2020,40 Reviews,65,250+ Ratings,61,"[('netflix', 'Subscription')]",2020, Romance/Drama, 1h 47m,"{'Directed by': ['Brett Haley', '', ''], 'Screenplay by': ['Jennifer Niven', 'Liz Hannah', '\n \n', ''], 'Based on': ['by Jennifer Niven', '', ''], 'Produced by': ['Paula Mazur', 'Mitchell Kaplan', 'Brittany Kahan-Ward', 'Andrew Spaulding', 'Elle Fanning', 'Doug Mankoff', '\n \n', ''], 'Starring': ['Elle Fanning', 'Sofia Hasmik', 'Justice Smith', 'Alexandra Shipp', ""Kelli O'Hara"", 'Lamar Johnson', 'Virginia Gardner', 'Felix Mallard', 'Keegan-Michael Key', 'Luke Wilson', '\n \n', ''], 'Cinematography': ['Rob C. Givens', '', ''], 'Edited by': ['Suzy Elmiger', '', ''], 'Music by': ['Keegan DeWitt', '', ''], 'Production companies': ['', '', 'Echo Lake Entertainment', 'Mazur/Kaplan Company', 'Demarest Media'], 'Distributed by': ['Netflix', '', ''], 'Release date': ['February\xa028,\xa02020', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1481,Wendy,2020,113 Reviews,42,Fewer than 50 Verified Ratings,75,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2020, Adventure, 1h 52m,"{'Directed by': ['Benh Zeitlin', '', ''], 'Screenplay by': ['Benh Zeitlin', 'Eliza Zeitlin', '\n \n', ''], 'Based on': [' ', ' by ', 'J. M. Barrie', '', ''], 'Produced by': ['Becky Glupczynski', 'Dan Janvey', 'Josh Penn', 'Paul Mezey', '\n \n', ''], 'Starring': ['Devin France', 'Yashua Mack', 'Gage Naquin', 'Gavin Naquin', 'Ahmad Cage', 'Krzysztof Meyn', 'Romyri Ross', '\n \n', ''], 'Cinematography': ['Sturla Brandth Grøvlen', '', ''], 'Edited by': ['Affonso Gonçalves', '', ''], 'Music by': ['Dan Romer', '', ''], 'Production companies': ['', '', 'Department of Motion Pictures', 'Journeyman Pictures', 'TSG Entertainment'], 'Distributed by': ['Searchlight Pictures', '', ''], 'Release dates': ['January\xa026,\xa02020', ' (', ')', 'February\xa028,\xa02020', ' (United States)', 'Sundance', '\n \n', ''], 'Running time': ['112 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$6 million', '', ''], 'Box office': ['$266,770', '', '']}"
1482,Guns Akimbo,2020,70 Reviews,51,Fewer than 50 Verified Ratings,40,"[('vudu', 'Rent/buy'), ('itunes', 'Rent/buy')]",2019, Action/Comedy, 1h 35m,"{'Directed by': ['Jason Lei Howden', '', ''], 'Written by': ['Jason Lei Howden', '', ''], 'Produced by': ['Felipe Marino', 'Joe Neurauter', 'Tom Hern', '\n \n', ''], 'Starring': ['Edwin Wright', 'Richard Knowles', 'Daniel Radcliffe', 'Samara Weaving', 'Ned Dennehy', 'Natasha Liu Bordizzo', 'Grant Bowler', 'Rhys Darby', 'Milo Cawthorne', 'Mark Rowley', '\n \n', ''], 'Cinematography': ['Stefan Ciupek', '', ''], 'Edited by': ['Luke Haigh', 'Zaz Montana', '\n \n', ''], 'Music by': ['Enis Rotthoff', '', ''], 'Production companies': ['', '', 'Occupant Entertainment', 'Four Knights Film', 'Maze Pictures', 'Cutting Edge', 'The Electric Shadow Company', 'WS Filmproduktion', 'Deutscher Filmförderfonds', 'Hyperion Entertainment', 'Umedia', 'Ingenious Media', 'FilmFernsehFonds Bayern', 'New Zealand Film Commission'], 'Distributed by': [' (Australia & New Zealand)', ' (United Kingdom)', ' (Germany and Austria)', 'Madman Entertainment', 'Altitude Film Distribution', 'Leonine Distribution', '\n \n', ''], 'Release dates': ['9\xa0September\xa02019', ' (', ')', '5\xa0March\xa02020', ' (New Zealand)', '2\xa0April\xa02020', ' (United States)', 'TIFF', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Countries': ['New Zealand', 'Australia', 'United Kingdom', 'Germany', '\n \n', ''], 'Language': ['English', '', ''], 'Box office': ['$847,947', '', '']}"
1483,The Banker,2020,80 Reviews,79,50+ Verified Ratings,100,"[('apple-tv-plus-us', 'Subscription')]",2020, History/Drama, 2h 0m,"{'Directed by': ['George Nolfi', '', ''], 'Screenplay by': ['Niceole Levy', 'George Nolfi', 'David Lewis Smith', 'Stan Younger', '\n \n', ''], 'Story by': ['David Lewis Smith', 'Stan Younger', 'Brad Caleb Kane', '\n \n', ''], 'Produced by': ['Joel Viertel', 'Brad Feinstein', 'George Nolfi', 'Jonathan Baker', 'David Lewis Smith', 'Nnamdi Asomugha', 'Anthony Mackie', '\n \n', ''], 'Starring': ['Anthony Mackie', 'Nicholas Hoult', 'Nia Long', 'Jessie T. Usher', 'Samuel L. Jackson', '\n \n', ''], 'Cinematography': ['Charlotte Bruus Christensen', '', ''], 'Edited by': ['Joel Viertel', '', ''], 'Music by': ['H. Scott Salinas', '', ''], 'Production companies': ['', '', 'Romulus Entertainment', 'Mad Hatter', 'Iam21 Entertainment', 'Hyphenate Films'], 'Distributed by': ['Apple Studios', '', ''], 'Release date': ['March\xa06,\xa02020', '\n \n', ''], 'Running time': ['120 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$11 million', '', '']}"
1484,Bloodshot,2020,167 Reviews,31,"1,000+ Verified Ratings",78,"[('vudu', 'Buy'), ('amazon-prime-video-us', 'Buy'), ('itunes', 'Buy')]",2020, Action/Adventure, 1h 49m,"{'Directed by': ['David S. F. Wilson', '', ''], 'Screenplay by': ['Jeff Wadlow', 'Eric Heisserer', '\n \n', ''], 'Story by': ['Jeff Wadlow', '', ''], 'Based on': ['by ', 'Bloodshot', 'Kevin VanHook', 'Don Perlin', 'Bob Layton'], 'Produced by': ['Toby Jaffe', 'Dinesh Shamdasani', 'Neal H. Moritz', 'Vin Diesel', '\n \n', ''], 'Starring': ['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell', 'Guy Pearce', '\n \n', ''], 'Cinematography': ['Jacques Jouffret', '', ''], 'Edited by': ['Jim May', '', ''], 'Music by': ['Steve Jablonsky', '', ''], 'Production companies': ['', '', 'Annabell Pictures', 'Columbia Pictures', 'Bona Film Group', 'Cross Creek Pictures', 'Original Film', 'One Race Films', 'Valiant Entertainment', 'The Hideaway Entertainment'], 'Distributed by': ['Sony Pictures Releasing', '', ''], 'Release dates': ['March\xa010,\xa02020', ' (', ')', 'March\xa013,\xa02020', ' (United States)', 'Westwood', '\n \n', ''], 'Running time': ['109 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$45 million', '', ''], 'Box office': ['$37.3 million', '', '']}"
1485,Lost Girls,2020,62 Reviews,74,250+ Ratings,50,"[('netflix', 'Subscription')]",2020, Drama, 1h 35m,"{'Directed by': ['Liz Garbus', '', ''], 'Written by': ['Michael Werwie', '', ''], 'Based on': ['by ', 'Robert Kolker', '', ''], 'Produced by': ['Anne Carey', 'Kevin McCormick', '\n \n', ''], 'Starring': ['Amy Ryan', 'Thomasin McKenzie', 'Lola Kirke', 'Oona Laurence', 'Dean Winters', 'Miriam Shor', 'Reed Birney', 'Kevin Corrigan', 'Gabriel Byrne', '\n \n', ''], 'Cinematography': ['Igor Martinovic', '', ''], 'Edited by': ['Camilla Toniolo', '', ''], 'Music by': ['Anne Nikitin', '', ''], 'Production companies': ['', '', 'Archer Gray', 'Langley Park Productions'], 'Distributed by': ['Netflix', '', ''], 'Release dates': ['January\xa028,\xa02020', ' (', ')', 'March\xa013,\xa02020', ' (United States)', 'Sundance', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1486,Stargirl,2020,40 Reviews,68,250+ Ratings,69,"[('disney-plus-us', 'Subscription')]",2020, Kids & family/Romance, 1h 47m,"{'Directed by': ['Julia Hart', '', ''], 'Screenplay by': [' ', 'Julia Hart ', 'Kristin Hahn', 'Jordan Horowitz', '', ''], 'Based on': ['by ', 'Jerry Spinelli', '', ''], 'Produced by': ['Kristin Hahn', 'Lee Stollman', 'Jordan Horowitz', 'Ellen Goldsmith-Vein', '\n \n', ''], 'Starring': ['Grace VanderWaal', 'Graham Verchere', '\n \n', ''], 'Cinematography': ['Bryce Fortner', '', ''], 'Edited by': ['Shayar Bansali', 'Tracey Wadmore-Smith', '\n \n', ''], 'Music by': ['Rob Simonsen', '', ''], 'Production companies': ['', '', 'Hahnscape Entertainment', 'Walt Disney Pictures', 'Gotham Group'], 'Distributed by': ['Disney+', '', ''], 'Release date': ['March\xa013,\xa02020', '\n \n', ''], 'Running time': ['107 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1487,Spenser Confidential,2020,85 Reviews,36,"1,000+ Ratings",51,"[('netflix', 'Subscription')]",2020, Action, 1h 51m,"{'Directed by': ['Peter Berg', '', ''], 'Screenplay by': [""Sean O'Keefe"", 'Brian Helgeland', '\n \n', ''], 'Based on': ['by ', 'Ace Atkins', '', ''], 'Produced by': ['Toby Ascher', 'Stephen Levinson', 'Peter Berg', 'Neal H. Moritz', 'Mark Wahlberg', '\n \n', ''], 'Starring': ['Mark Wahlberg', 'Winston Duke', 'Alan Arkin', 'Iliza Shlesinger', 'Bokeem Woodbine', 'Marc Maron', 'Austin Post', '\n \n', ''], 'Cinematography': ['Tobias A. Schliessler', '', ''], 'Edited by': ['Mike Sale', '', ''], 'Music by': ['Steve Jablonsky', '', ''], 'Production companies': ['', '', 'Leverage Entertainment', 'Film 44', 'Original Film', 'Closest to the Hole Productions'], 'Distributed by': ['Netflix', '', ''], 'Release date': ['March\xa06,\xa02020', '\n \n', ''], 'Running time': ['111 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1488,The Burnt Orange Heresy,2020,120 Reviews,66,Fewer than 50 Verified Ratings,81,"[('vudu', 'Buy'), ('amazon-prime-video-us', 'Buy'), ('itunes', 'Buy')]",2019, Mystery & thriller, 1h 39m,"{'Directed by': ['Giuseppe Capotondi', '', ''], 'Screenplay by': ['Scott Smith', '', ''], 'Based on': ['by ', 'Charles Willeford', '', ''], 'Produced by': ['David Zander', 'William Horberg', 'David Lancaster', '\n \n', ''], 'Starring': ['Claes Bang', 'Elizabeth Debicki', 'Mick Jagger', 'Donald Sutherland', '\n \n', ''], 'Cinematography': ['David Ungaro', '', ''], 'Edited by': ['Guido Notari', '', ''], 'Music by': ['Craig Armstrong', '', ''], 'Production companies': ['', '', 'MJZ', 'Rumble Films', 'Wonderful Films', 'Indiana Production', 'HanWay Films', 'Ingenious'], 'Distributed by': ['Sony Pictures Classics', '', ''], 'Release dates': ['September\xa07,\xa02019', ' (', ')', 'March\xa06,\xa02020', ' (United States)', 'Venice', '\n \n', ''], 'Running time': ['98 minutes', '', ''], 'Countries': ['United States', 'Italy', '\n \n', ''], 'Language': ['English', '', ''], 'Box office': ['$711,691', '', '']}"
1489,Swallow,2020,142 Reviews,87,500+ Ratings,71,"[('vudu', 'Buy'), ('amazon-prime-video-us', 'Buy'), ('itunes', 'Rent/buy')]",2019, Mystery & thriller, 1h 35m,"{'Directed by': ['Carlo Mirabella-Davis', '', ''], 'Written by': ['Carlo Mirabella-Davis', '', ''], 'Produced by': ['Carole Baraton', 'Frédéric Fiore', 'Mollye Asher', 'Mynette Louie', '\n \n', ''], 'Starring': ['Haley Bennett', 'Austin Stowell', 'Elizabeth Marvel', 'David Rasche', ""Denis O'Hare"", '\n \n', ''], 'Cinematography': ['Katelin Arizmendi', '', ''], 'Edited by': ['Joe Murphy', '', ''], 'Music by': ['Nathan Halpern', '', ''], 'Production companies': ['', '', 'Charades', 'Logical Pictures', 'Stand Alone Productions', 'Syncopated Films'], 'Distributed by': [' (United States)', 'UFO Distribution (France)', 'IFC Films', '\n \n', ''], 'Release dates': ['April\xa028,\xa02019', ' (', ')', 'January\xa015,\xa02020', ' (France)', 'March\xa06,\xa02020', ' (United States)', 'Tribeca', '\n \n', ''], 'Running time': ['94 minutes', '', ''], 'Countries': ['United States', 'France', '\n \n', ''], 'Language': ['English', '', ''], 'Box office': ['$274,674', '', '']}"
1490,First Cow,2020,218 Reviews,96,500+ Ratings,64,"[('vudu', 'Rent/buy'), ('peacock', 'Subscription'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2019, Western/Drama, 2h 2m,"{'Directed by': ['Kelly Reichardt', '', ''], 'Screenplay by': ['Kelly Reichardt', 'Jonathan Raymond', '\n \n', ''], 'Based on': ['by Jonathan Raymond', '', ''], 'Produced by': ['Vincent Savino', 'Anish Savjani', 'Neil Kopp', '\n \n', ''], 'Starring': ['Orion Lee', 'John Magaro', 'Toby Jones', 'Ewen Bremner', 'Scott Shepherd', 'Gary Farmer', 'Lily Gladstone', '\n \n', ''], 'Cinematography': ['Christopher Blauvelt', '', ''], 'Edited by': ['Kelly Reichardt', '', ''], 'Music by': ['William Tyler', '', ''], 'Production companies': ['', '', 'FilmScience', 'IAC Films'], 'Distributed by': ['A24', '', ''], 'Release dates': ['August\xa030,\xa02019', ' (', ')', 'March\xa06,\xa02020', ' (United States)', 'Telluride', '\n \n', ''], 'Running time': ['121 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2 million+', '', ''], 'Box office': ['$1.4 million', '', '']}"
1491,Uncorked,2020,48 Reviews,92,250+ Ratings,64,"[('netflix', 'Subscription')]",2020, Drama, 1h 44m,"{'Directed by': ['Prentice Penny', '', ''], 'Written by': ['Prentice Penny', '', ''], 'Produced by': ['Prentice Penny', 'Jill Ahrens', 'Ryan Ahrens', 'Ben Renzo', 'Datari Turner', 'Chris Pollack', 'Jason Michael Berman', '\n \n', ''], 'Starring': ['Kelly Jenrette', 'Bernard David Jones', 'Mamoudou Athie', 'Courtney B. Vance', 'Niecy Nash', 'Matt McGorry', 'Sasha Compère', 'Gil Ozeri', 'Meera Rohit Kumbhani', '\n \n', ''], 'Cinematography': ['Elliot Davis', '', ''], 'Edited by': ['Sandra Montiel', '', ''], 'Music by': ['Hit-Boy', '', ''], 'Production companies': ['', '', 'Forge Media', 'Argent Pictures', 'Mandalay Pictures'], 'Distributed by': ['Netflix', '', ''], 'Release date': ['March\xa027,\xa02020', ' (United States)', '\n \n', ''], 'Running time': ['104 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1492,I Still Believe,2020,49 Reviews,49,"1,000+ Verified Ratings",98,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2020, Biography/Drama, 1h 55m,"{'Directed by': ['Erwin brothers', '', ''], 'Screenplay by': ['Jon Erwin', 'Jon Gunn', 'Madeline Carroll', '\n \n', ''], 'Based on': ['by ', ' and Phil Newman', 'Jeremy Camp', '', ''], 'Produced by': ['Jon Erwin', 'Andrew Erwin', 'Kevin Downes', '\n \n', ''], 'Starring': ['KJ Apa', 'Britt Robertson', 'Melissa Roxburgh', 'Nathan Parsons', 'Shania Twain', 'Gary Sinise', '\n \n', ''], 'Cinematography': ['Kristopher Kimlin', '', ''], 'Edited by': ['Parker Adams', 'Ben Smallbone', '\n \n', ''], 'Music by': ['John Debney', '', ''], 'Production companies': ['', '', 'Kevin Downes Productions', 'Erwin Brothers Entertainment', 'Kingdom Story Company'], 'Distributed by': ['Lionsgate', '', ''], 'Release dates': ['March\xa07,\xa02020', ' (', ')', 'March\xa013,\xa02020', ' (United States)', 'ArcLight Hollywood', '\n \n', ''], 'Running time': ['116 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$12\xa0million', '', ''], 'Box office': ['$16.4\xa0million', '', ''], 'Released': ['March 6, 2020', '', ''], '': ['Capitol', '', ''], 'Length': ['', '']}"
1493,The Hunt,2020,0 Reviews,,0 Ratings,,,1953, Mystery & thriller, 1h 26m,"{'Directed by': ['Craig Zobel', '', ''], 'Written by': ['Nick Cuse', 'Damon Lindelof', '', ''], 'Produced by': ['Damon Lindelof', 'Jason Blum', '', ''], 'Starring': ['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz', 'Emma Roberts', '\n \n', ''], 'Cinematography': ['Darran Tiernan', '', ''], 'Edited by': ['Jane Rizzo', '', ''], 'Music by': ['Nathan Barr', '', ''], 'Production companies': ['', '', 'White Rabbit Productions', 'Blumhouse Productions'], 'Distributed by': ['Universal Pictures', '', ''], 'Release dates': ['March\xa011,\xa02020', ' (United Kingdom)', 'March\xa013,\xa02020', ' (United States)', '\n \n', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$14 million', '', ''], 'Box office': ['$12.4 million', '', '']}"
1494,The Main Event,2020,21 Reviews,29,50+ Ratings,25,"[('netflix', 'Subscription')]",2020, Comedy, 1h 41m,"{'Directed by': ['Jay Karas', '', ''], 'Screenplay by': ['Larry Postel', 'Jim Mahoney', 'Zach Lewis', 'Peter Hoare', '', ''], 'Story by': ['Larry Postel', '', ''], 'Produced by': ['Richard Lowell', '', ''], 'Starring': ['Seth Carr', 'Aryan Simhadri', 'Momona Tamada', 'Glen Gordon', 'Keith Lee', 'Josh Zaharia', 'Dallas Young', 'Bodhi Sabongui', 'Adam Pally', 'Tichina Arnold', 'Ken Marino', 'Babatunde Aiyegbusi', 'Renee Paquette', 'Matt Polinsky', 'Kofi Kingston', 'Stephen Farrelly', 'Mike ""The Miz"" Mizanin', '\n \n', ''], 'Cinematography': ['Karsten Gopinath', '', ''], 'Edited by': ['Dan Schalk', '', ''], 'Music by': ['Rupert Parkes', '', ''], 'Animation by': ['Richard Lowell', '', ''], 'Production company': ['', 'WWE Studios'], 'Distributed by': ['Netflix', '', ''], 'Release date': ['April\xa010,\xa02020', '\n \n', ''], 'Running time': ['101 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1495,Big Time Adolescence,2020,84 Reviews,85,500+ Ratings,82,"[('hulu', 'Subscription')]",2019, Comedy, 1h 30m,"{'Directed by': ['Jason Orley', '', ''], 'Written by': ['Jason Orley', '', ''], 'Produced by': ['Pete Shilaimon', 'Will Phelps', 'Glen Trotiner', 'Mason Novick', 'Mickey Liddell', 'Jeremy Garelick', '\n \n', ''], 'Starring': ['Emily Arlook', 'Pete Davidson', 'Griffin Gluck', 'Colson Baker', 'Sydney Sweeney', 'Jon Cryer', '\n \n', ''], 'Cinematography': ['Andrew Huebscher', '', ''], 'Edited by': ['Waldemar Centeno', '', ''], 'Music by': ['Nick Sena', 'Zachary Dawes', '\n \n', ''], 'Production companies': ['', '', 'American High', 'MXN Entertainment', 'LD Entertainment'], 'Distributed by': ['Hulu', '', ''], 'Release dates': ['January\xa028,\xa02019', ' (', ')', 'March\xa013,\xa02020', ' (United States)', 'Sundance', '\n \n', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1496,Lost Transmissions,2020,28 Reviews,54,Fewer than 50 Ratings,39,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Subscription'), ('itunes', 'Rent/buy')]",2019, Drama, 1h 45m,"{'Directed by': [""Katharine O'Brien"", '', ''], 'Screenplay by': [""Katharine O'Brien"", '', ''], 'Produced by': ['Al Di', 'Olga Kagan', 'Tory Lenosky', 'Filip Jan Rymsza', '\n \n', ''], 'Starring': ['Simon Pegg', 'Juno Temple', 'Alexandra Daddario', '\n \n', ''], 'Cinematography': ['Arnau Valls Colomer', '', ''], 'Edited by': ['Yannis Chalkiadakis', '', ''], 'Music by': ['Hugo Nicolson', '', ''], 'Production companies': ['', '', 'Pulse Films', 'Royal Road Entertainment', 'Underlying Tension'], 'Distributed by': ['Gravitas Ventures', '', ''], 'Release dates': ['April\xa028,\xa02019', ' (', ')', 'March\xa013,\xa02020', ' (United States)', 'Tribeca', '\n \n', ''], 'Running time': ['105 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
1497,Vivarium,2020,153 Reviews,73,"1,000+ Ratings",39,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Subscription'), ('itunes', 'Rent/buy')]",2020, Mystery & thriller/Sci-fi, 1h 37m,"{'Directed by': ['Lorcan Finnegan', '', ''], 'Screenplay by': ['Garret Shanley', '', ''], 'Story by': ['Garret Shanley', 'Lorcan Finnegan', '\n \n', ''], 'Produced by': ['John McDonnell', 'Brendan McCarthy', '\n \n', ''], 'Starring': ['Imogen Poots', 'Jesse Eisenberg', '\n \n', ''], 'Cinematography': ['MacGregor', '', ''], 'Edited by': ['Tony Cranstoun', '', ''], 'Music by': ['Kristian Eidnes Andersen', '', ''], 'Production companies': ['', '', 'Frakas Productions', 'PingPong Film', 'XYZ Films', 'Fantastic Films', 'VOO', 'BeTV'], 'Distributed by': [' and Wildcard Distribution (Republic of Ireland)', 'Angel Films (Denmark)', 'Vertigo Releasing', '\n \n', ''], 'Release dates': ['18\xa0May\xa02019', ' (', ')', '27\xa0March\xa02020', ' (Ireland)', 'Cannes', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Countries': ['Ireland', 'Denmark', 'Belgium', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['€4 million', '', ''], 'Box office': ['$434,030', '', '']}"
1498,Sergio,2020,48 Reviews,44,100+ Ratings,50,"[('netflix', 'Subscription')]",2020, Drama, 1h 58m,"{'Directed by': ['Greg Barker', '', ''], 'Written by': ['Craig Borten', '', ''], 'Produced by': ['Brent Travers', 'Daniel Dreifuss', 'Wagner Moura', '\n \n', ''], 'Starring': ['Will Dalton', 'Wagner Moura', 'Ana de Armas', 'Garret Dillahunt', 'Clemens Schick', 'Bradley Whitford', ""Brían F. O'Byrne"", '\n \n', ''], 'Cinematography': ['Adrian Teijido', '', ''], 'Edited by': ['Claudia Castello', '', ''], 'Music by': ['Fernando Velázquez', '', ''], 'Production companies': ['', '', 'Black Rabbit Media', 'Anima Pictures', 'Itapoan'], 'Distributed by': ['Netflix', '', ''], 'Release dates': ['January\xa028,\xa02020', ' (', ')', 'April\xa017,\xa02020', ' (United States)', 'Sundance', '\n \n', ''], 'Running time': ['118 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
